value,value,value,value,value,value,value,value,value,suburbName
37744,39735,41032,40821,40658,41774,42401,43777,48090,HYLAND PARK
32168,34491,35687,35337,35445,35882,35998,37703,39962,ARGENTS HILL
44224,45274,47660,47398,48040,49851,51561,52757,56953,BOAMBEE
40570,42350,43599,44476,44601,46037,47639,48835,52840,BAYLDON
30244,31038,34609,36827,38195,38190,37158,38440,42946,BIELSDOWN HILLS
39369,41486,41575,43162,43288,43981,46552,48528,52322,BELLINGEN
40276,41096,42693,43941,44670,44624,45840,47018,52014,TARKEETH
39198,40382,41003,41550,42349,44560,45932,46021,50294,ARRAWARRA
38937,40151,41252,42866,43327,45063,46704,47450,49935,ALUMY CREEK
33187,35423,37776,38916,39261,41259,43478,43811,47327,CALLIOPE
36489,38542,39429,40907,42941,45640,46529,45814,48611,ASHBY
37171,38718,39852,42282,43003,45696,48779,48526,53389,ANGOURIE
34491,37680,37824,42701,40619,46723,44795,42164,44048,HARWOOD
31672,33296,34969,35562,38270,40881,43495,43263,44470,ILUKA
30673,32219,33487,34947,35312,35140,35812,37720,38710,ALICE
37711,38995,40080,40574,40908,42044,43046,44877,47232,ALICE
31337,33237,35631,38021,37869,39922,41182,43841,47042,BORA RIDGE
36269,38303,39710,40049,40600,43267,44053,43511,47501,BROADWATER
40954,42369,43085,44524,44333,47069,49046,51090,55557,BUNDJALUNG
34991,35771,37087,38006,38196,40633,40407,40071,44533,AFTERLEE
27620,29749,32571,30889,32281,33993,42262,42063,42518,BEAURY CREEK
32509,33545,34708,38696,37188,37596,37214,50630,43412,ACACIA CREEK
40965,42921,44092,46465,46806,49411,50128,51646,55853,ALSTONVALE
45259,45829,47234,48262,48823,51564,52790,53266,59821,BALLINA
46202,51442,52555,52503,54430,57902,62105,60500,99909,BANGALOW
40632,42512,42853,44126,44266,45564,47134,48970,53011,BACK CREEK
42756,45426,49313,50784,53705,54923,62242,60579,74631,BROKEN HEAD
36004,39357,39568,39472,41243,41703,42678,44462,54263,GOONENGERRY
38266,41042,41258,41721,41964,44389,45734,48719,55542,BILLINUDGEL
39290,40997,41666,42457,42993,45175,45017,45488,50547,BACK CREEK
40701,42958,43591,45002,45461,46317,48810,49234,54310,TWEED HEADS
42330,43585,45160,45559,45706,47245,49030,49991,54406,BANORA POINT
50324,52735,54789,58990,57779,60757,63228,63754,69885,CASUARINA
42652,44174,44603,45962,47201,51243,50389,53885,61950,BOGANGAR
44648,46977,46847,46797,47377,49648,51554,51596,56506,HASTINGS POINT
45736,48197,48473,51400,46392,49063,47769,52915,58865,NORTH TUMBULGUM
51781,53801,54306,55470,55629,57577,59109,59707,63261,CONISTON
42914,43761,44163,44573,45641,47314,49273,49554,52021,CRINGILA
